

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/31/2025,"INTEREST EARNED FDIC INSURED DEPOSIT AT CITIBANK NOT... (QPCTQ) (Cash)",QPCTQ,"FDIC INSURED DEPOSIT AT CITIBANK NOT CO",Cash,,0.000,,,,66.94,17976.27,
03/31/2025,"DEBIT CARD PURCHASE Google FI L945JG 650-2530000 CA03292524204292R0210S (Cash)",,"No Description",Cash,,0.000,,,,-98.23,17909.33,
03/28/2025,"DIRECT DEPOSIT 100-SFDC INCPAYROLL (Cash)", ,"No Description",Cash,,0.000,,,,7836.32,18007.56,
03/26/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-5016.47,10171.24,
03/25/2025,"DIRECT DEBIT 4 Corners FinaVENDOR PMT (Cash)", ,"No Description",Cash,,0.000,,,,-17185,15187.71,
03/24/2025,"DEBIT CARD PURCHASE APPLE CASH SENT MONEY 1INFINITELOOP CA03222524055232J86LZX (Cash)",,"No Description",Cash,,0.000,,,,-172.49,32372.71,
03/21/2025,"DIRECT DEBIT BK OF AMER VISONLINE PMT (Cash)", ,"No Description",Cash,,0.000,,,,-4.23,32545.20,
03/21/2025,"Check Paid # 1013 (Cash)",,"No Description",Cash,,0.000,,,,-73.16,32549.43,
03/21/2025,"DIRECT DEBIT CHASE CREDIT CEPAY (Cash)", ,"No Description",Cash,,0.000,,,,-310.26,32622.59,
03/21/2025,"DIRECT DEBIT CHASE CREDIT CEPAY (Cash)", ,"No Description",Cash,,0.000,,,,-321.77,32932.85,
03/21/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-1008.34,33254.62,
03/19/2025,"DIRECT DEBIT REPUBLICSERVICRSIBILLPAY (Cash)", ,"No Description",Cash,,0.000,,,,-201.68,34262.96,
03/18/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-40,34464.64,
